Division,Year,TotalGoals,HomeFouls,AwayFouls,HomeYellow,AwayYellow,HomeRed,AwayRed,HomeShots,AwayShots,HomeTarget,AwayTarget,HomeCorners,AwayCorners,FTResult
CHN,2020,2.753086419753086,,,,,,,,,,,,,"{'H': 0.3888888888888889, 'A': 0.3271604938271605, 'D': 0.2839506172839506}"
CHN,2021,2.5548780487804876,,,,,,,,,,,,,"{'H': 0.45121951219512196, 'D': 0.27439024390243905, 'A': 0.27439024390243905}"
CHN,2022,2.813664596273292,,,,,,,,,,,,,"{'H': 0.4254658385093168, 'A': 0.36645962732919257, 'D': 0.2080745341614907}"
CHN,2023,2.775,,,,,,,,,,,,,"{'H': 0.44166666666666665, 'D': 0.2791666666666667, 'A': 0.2791666666666667}"
CHN,2024,3.1574074074074074,,,,,,,,,,,,,"{'H': 0.46296296296296297, 'A': 0.3194444444444444, 'D': 0.2175925925925926}"
D1,2000,3.04320987654321,16.969135802469136,17.339506172839506,1.882716049382716,2.308641975308642,0.09259259259259259,0.15432098765432098,14.382716049382717,10.648148148148149,6.388888888888889,4.54320987654321,6.518518518518518,4.925925925925926,"{'H': 0.5493827160493827, 'A': 0.22839506172839505, 'D': 0.2222222222222222}"
D1,2001,2.784313725490196,17.22875816993464,18.016339869281047,1.9379084967320261,2.4052287581699345,0.09803921568627451,0.17973856209150327,14.163398692810457,9.879084967320262,6.0359477124183005,4.326797385620915,6.509803921568627,4.4183006535947715,"{'H': 0.47058823529411764, 'A': 0.2875816993464052, 'D': 0.24183006535947713}"
D1,2002,2.919191919191919,16.78472222222222,17.993055555555557,1.9236111111111112,2.3402777777777777,0.0625,0.1597222222222222,15.215277777777779,10.5625,6.8125,4.506944444444445,6.680555555555555,4.055555555555555,"{'H': 0.5185185185185185, 'A': 0.25925925925925924, 'D': 0.2222222222222222}"
D1,2003,2.7876106194690267,19.213483146067414,20.96629213483146,2.0224719101123596,2.3146067415730336,0.0898876404494382,0.06741573033707865,15.876404494382022,12.47191011235955,,,5.943820224719101,4.146067415730337,"{'H': 0.4823008849557522, 'A': 0.2610619469026549, 'D': 0.25663716814159293}"
D1,2004,2.9069767441860463,18.941860465116278,20.1937984496124,1.8410852713178294,2.3217054263565893,0.050387596899224806,0.1124031007751938,15.686046511627907,12.15891472868217,,,5.6395348837209305,4.437984496124031,"{'H': 0.4883720930232558, 'A': 0.2868217054263566, 'D': 0.2248062015503876}"
D1,2005,2.8790849673202614,18.352941176470587,19.908496732026144,1.8758169934640523,2.261437908496732,0.0457516339869281,0.13725490196078433,15.630718954248366,12.718954248366012,,,5.65359477124183,4.516339869281046,"{'H': 0.47058823529411764, 'A': 0.2777777777777778, 'D': 0.25163398692810457}"
D1,2006,2.7254901960784315,18.58823529411765,20.49346405228758,1.7777777777777777,2.133986928104575,0.0718954248366013,0.13398692810457516,15.61437908496732,11.911764705882353,8.607843137254902,6.686274509803922,5.996732026143791,4.382352941176471,"{'H': 0.4084967320261438, 'D': 0.3235294117647059, 'A': 0.2679738562091503}"
D1,2007,2.7941176470588234,17.395424836601308,19.035947712418302,1.6862745098039216,2.022875816993464,0.058823529411764705,0.1111111111111111,15.830065359477125,12.627450980392156,7.173202614379085,5.686274509803922,5.92483660130719,4.444444444444445,"{'H': 0.4934640522875817, 'A': 0.3006535947712418, 'D': 0.20588235294117646}"
D1,2008,2.911764705882353,17.22222222222222,18.702614379084967,1.6470588235294117,2.0686274509803924,0.06209150326797386,0.13725490196078433,15.467320261437909,12.277777777777779,5.375816993464053,4.0816993464052285,6.0,4.467320261437909,"{'H': 0.46078431372549017, 'A': 0.27450980392156865, 'D': 0.2647058823529412}"
D1,2009,2.781045751633987,16.833333333333332,18.41176470588235,1.7156862745098038,1.9673202614379084,0.0718954248366013,0.08823529411764706,14.69281045751634,12.169934640522875,5.19281045751634,4.222222222222222,6.140522875816994,4.624183006535947,"{'H': 0.42483660130718953, 'A': 0.30392156862745096, 'D': 0.27124183006535946}"
D1,2010,3.0326797385620914,15.57843137254902,17.173202614379086,1.477124183006536,1.869281045751634,0.0784313725490196,0.0915032679738562,14.19281045751634,11.781045751633988,5.1797385620915035,4.241830065359477,5.542483660130719,4.3431372549019605,"{'H': 0.45098039215686275, 'A': 0.3235294117647059, 'D': 0.22549019607843138}"
D1,2011,2.781045751633987,15.895424836601308,17.130718954248366,1.5326797385620916,2.0686274509803924,0.09803921568627451,0.1111111111111111,14.392156862745098,11.163398692810457,5.127450980392157,4.137254901960785,5.38562091503268,4.062091503267974,"{'H': 0.46078431372549017, 'A': 0.30392156862745096, 'D': 0.23529411764705882}"
D1,2012,2.8790849673202614,15.392156862745098,16.470588235294116,1.5784313725490196,1.8758169934640523,0.10784313725490197,0.08169934640522876,13.673202614379084,11.186274509803921,5.029411764705882,4.218954248366013,5.483660130718954,4.107843137254902,"{'H': 0.4444444444444444, 'A': 0.3006535947712418, 'D': 0.2549019607843137}"
D1,2013,3.081967213114754,15.190163934426229,15.836065573770492,1.6754098360655738,1.9836065573770492,0.06885245901639345,0.12786885245901639,14.495081967213114,11.819672131147541,5.324590163934427,4.409836065573771,5.4295081967213115,4.301639344262295,"{'H': 0.4360655737704918, 'A': 0.3180327868852459, 'D': 0.2459016393442623}"
D1,2014,2.973941368078176,14.697068403908794,15.635179153094462,1.5635179153094463,1.8957654723127035,0.048859934853420196,0.09771986970684039,14.905537459283387,12.01628664495114,5.592833876221499,4.306188925081433,5.609120521172638,4.49185667752443,"{'H': 0.4723127035830619, 'A': 0.2931596091205212, 'D': 0.23452768729641693}"
D1,2015,2.7516339869281046,14.843137254901961,15.287581699346406,1.7483660130718954,1.957516339869281,0.09803921568627451,0.07516339869281045,14.235294117647058,11.552287581699346,5.111111111111111,4.137254901960785,5.251633986928105,4.218954248366013,"{'H': 0.45751633986928103, 'A': 0.30718954248366015, 'D': 0.23529411764705882}"
D1,2016,2.781144781144781,14.094276094276093,14.94949494949495,1.7373737373737375,2.0673400673400675,0.07744107744107744,0.09090909090909091,13.727272727272727,11.393939393939394,4.97979797979798,4.2087542087542085,5.053872053872054,4.316498316498317,"{'H': 0.46464646464646464, 'A': 0.2828282828282828, 'D': 0.25252525252525254}"
D1,2017,2.888888888888889,13.165079365079364,14.463492063492064,1.6476190476190475,1.8857142857142857,0.07301587301587302,0.0761904761904762,13.980952380952381,11.542857142857143,5.025396825396825,4.114285714285714,5.184126984126984,4.253968253968254,"{'H': 0.473015873015873, 'A': 0.26666666666666666, 'D': 0.26031746031746034}"
D1,2018,2.9281045751633985,11.748366013071895,12.5,1.5588235294117647,1.9673202614379084,0.05228758169934641,0.0784313725490196,14.218954248366012,11.392156862745098,5.016339869281046,4.101307189542483,5.147058823529412,4.568627450980392,"{'H': 0.45751633986928103, 'A': 0.29411764705882354, 'D': 0.24836601307189543}"
D1,2019,3.2679738562091503,11.640522875816993,11.486928104575163,1.6274509803921569,1.9673202614379084,0.06209150326797386,0.11437908496732026,14.72549019607843,12.352941176470589,5.277777777777778,4.555555555555555,5.643790849673203,4.467320261437909,"{'H': 0.45098039215686275, 'A': 0.32679738562091504, 'D': 0.2222222222222222}"
D1,2020,3.1814814814814816,11.78888888888889,12.181481481481482,2.0074074074074075,2.0555555555555554,0.06666666666666667,0.08148148148148149,13.166666666666666,12.022222222222222,4.866666666666666,4.503703703703704,5.011111111111111,4.548148148148148,"{'A': 0.3888888888888889, 'H': 0.337037037037037, 'D': 0.2740740740740741}"
D1,2021,3.017543859649123,11.801169590643275,12.32748538011696,1.6432748538011697,1.868421052631579,0.03216374269005848,0.06432748538011696,13.590643274853802,11.719298245614034,5.119883040935672,4.239766081871345,4.964912280701754,4.447368421052632,"{'H': 0.49122807017543857, 'A': 0.2807017543859649, 'D': 0.22807017543859648}"
D1,2022,3.1666666666666665,11.715277777777779,11.836805555555555,1.71875,1.9479166666666667,0.034722222222222224,0.07291666666666667,14.10763888888889,11.51388888888889,5.347222222222222,4.274305555555555,5.09375,4.576388888888889,"{'H': 0.4513888888888889, 'A': 0.3125, 'D': 0.2361111111111111}"
D1,2023,3.248407643312102,11.554140127388536,11.949044585987261,1.9363057324840764,2.251592356687898,0.06687898089171974,0.06687898089171974,14.436305732484076,11.372611464968152,5.582802547770701,4.143312101910828,5.3630573248407645,4.328025477707007,"{'H': 0.48089171974522293, 'A': 0.27070063694267515, 'D': 0.2484076433121019}"
D1,2024,3.1879194630872485,10.751677852348994,11.154362416107382,1.912751677852349,2.2348993288590604,0.07046979865771812,0.12416107382550336,14.973154362416107,11.859060402684564,5.382550335570469,4.2885906040268456,5.76510067114094,4.194630872483222,"{'H': 0.4228187919463087, 'A': 0.31543624161073824, 'D': 0.26174496644295303}"
D1,2025,3.0058479532163744,10.24561403508772,10.701754385964913,1.7777777777777777,1.8538011695906433,0.09941520467836257,0.08187134502923976,13.853801169590643,11.666666666666666,4.742690058479532,4.222222222222222,5.222222222222222,4.309941520467836,"{'A': 0.391812865497076, 'H': 0.3333333333333333, 'D': 0.27485380116959063}"
D2,2000,2.993827160493827,21.5,22.0,1.73125,2.125,0.08125,0.16875,13.5,8.0,5.5,5.5,8.0,3.5,"{'H': 0.5, 'D': 0.2654320987654321, 'A': 0.2345679012345679}"
D2,2001,2.950980392156863,15.149501661129568,15.249169435215947,1.7222222222222223,2.235294117647059,0.09477124183006536,0.1895424836601307,12.790697674418604,9.169435215946844,6.099667774086379,4.1694352159468435,5.953488372093023,4.043189368770764,"{'H': 0.4934640522875817, 'A': 0.27124183006535946, 'D': 0.23529411764705882}"
D2,2002,3.040590405904059,15.895833333333334,15.944444444444445,1.7291666666666667,2.0277777777777777,0.09027777777777778,0.1736111111111111,12.055555555555555,8.75,5.673611111111111,3.9583333333333335,5.590277777777778,4.354166666666667,"{'H': 0.47601476014760147, 'A': 0.2693726937269373, 'D': 0.25461254612546125}"
D2,2003,2.806451612903226,,,,,,,,,,,,,"{'A': 0.5161290322580645, 'H': 0.3225806451612903, 'D': 0.16129032258064516}"
D2,2004,2.7039473684210527,,,,,,,,,,,,,"{'H': 0.5723684210526315, 'D': 0.25, 'A': 0.17763157894736842}"
D2,2005,2.737037037037037,,,,,,,,,,,,,"{'H': 0.4777777777777778, 'A': 0.2962962962962963, 'D': 0.22592592592592592}"
D2,2006,2.49025974025974,19.37908496732026,20.601307189542485,1.973856209150327,2.104575163398693,0.08496732026143791,0.1503267973856209,15.196078431372548,12.209150326797385,8.27450980392157,6.849673202614379,5.660130718954249,4.176470588235294,"{'H': 0.461038961038961, 'D': 0.2694805194805195, 'A': 0.2694805194805195}"
D2,2007,2.7777777777777777,19.41176470588235,20.934640522875817,1.7647058823529411,2.215686274509804,0.0915032679738562,0.13071895424836602,15.196078431372548,11.013071895424837,8.712418300653594,6.084967320261438,6.228758169934641,4.372549019607843,"{'H': 0.45751633986928103, 'D': 0.2875816993464052, 'A': 0.2549019607843137}"
D2,2008,2.8823529411764706,,,,,,,,,,,,,"{'H': 0.4869281045751634, 'D': 0.28104575163398693, 'A': 0.23202614379084968}"
D2,2009,2.712418300653595,,,,,,,,,,,,,"{'H': 0.4477124183006536, 'A': 0.29411764705882354, 'D': 0.2581699346405229}"
D2,2010,2.580327868852459,,,,,,,,,,,,,"{'H': 0.521311475409836, 'A': 0.26229508196721313, 'D': 0.21639344262295082}"
D2,2011,2.8584615384615386,,,,,,,,,,,,,"{'H': 0.4338461538461538, 'A': 0.2953846153846154, 'D': 0.27076923076923076}"
D2,2012,2.6241830065359477,,,,,,,,,,,,,"{'H': 0.4477124183006536, 'D': 0.3137254901960784, 'A': 0.238562091503268}"
D2,2013,2.5784313725490198,,,,,,,,,,,,,"{'H': 0.42483660130718953, 'A': 0.3137254901960784, 'D': 0.26143790849673204}"
D2,2014,2.526143790849673,,,,,,,,,,,,,"{'H': 0.4150326797385621, 'D': 0.3300653594771242, 'A': 0.2549019607843137}"
D2,2015,2.5098039215686274,,,,,,,,,,,,,"{'H': 0.39215686274509803, 'D': 0.3104575163398693, 'A': 0.2973856209150327}"
D2,2016,2.6597222222222223,,,,,,,,,,,,,"{'H': 0.4513888888888889, 'D': 0.2743055555555556, 'A': 0.2743055555555556}"
D2,2017,2.6222222222222222,14.154320987654321,15.438271604938272,1.9074074074074074,2.45679012345679,0.06790123456790123,0.09259259259259259,14.333333333333334,12.25925925925926,4.932098765432099,4.314814814814815,5.160493827160494,4.388888888888889,"{'H': 0.42857142857142855, 'A': 0.30158730158730157, 'D': 0.2698412698412698}"
D2,2018,2.8300653594771243,13.267973856209151,14.352941176470589,1.8529411764705883,2.1993464052287583,0.049019607843137254,0.09477124183006536,14.392156862745098,12.084967320261438,4.715686274509804,4.140522875816994,5.503267973856209,4.555555555555555,"{'H': 0.3954248366013072, 'D': 0.3202614379084967, 'A': 0.28431372549019607}"
D2,2019,2.957516339869281,13.022875816993464,13.209150326797385,1.8529411764705883,2.1862745098039214,0.10457516339869281,0.12091503267973856,14.777777777777779,12.882352941176471,4.970588235294118,4.303921568627451,5.630718954248366,4.748366013071895,"{'H': 0.4444444444444444, 'D': 0.2973856209150327, 'A': 0.2581699346405229}"
D2,2020,2.8346153846153848,12.823076923076924,13.11923076923077,2.1192307692307693,2.207692307692308,0.1,0.1423076923076923,13.38076923076923,11.911538461538461,4.888461538461539,4.111538461538461,5.292307692307692,4.730769230769231,"{'H': 0.4307692307692308, 'A': 0.3, 'D': 0.2692307692307692}"
D2,2021,2.965909090909091,11.90625,12.366477272727273,1.9318181818181819,2.085227272727273,0.0625,0.08522727272727272,13.838068181818182,12.133522727272727,5.167613636363637,4.338068181818182,5.355113636363637,4.642045454545454,"{'H': 0.4289772727272727, 'A': 0.32386363636363635, 'D': 0.2471590909090909}"
D2,2022,2.8956228956228958,11.67003367003367,11.710437710437711,1.9562289562289563,2.265993265993266,0.05387205387205387,0.09427609427609428,14.828282828282829,12.377104377104377,5.2087542087542085,4.292929292929293,5.643097643097643,4.451178451178452,"{'H': 0.4107744107744108, 'A': 0.3063973063973064, 'D': 0.2828282828282828}"
D2,2023,3.1013071895424837,11.591503267973856,12.284313725490197,2.081699346405229,2.3823529411764706,0.0915032679738562,0.1568627450980392,15.104575163398692,12.065359477124183,5.401960784313726,4.23202614379085,5.676470588235294,4.470588235294118,"{'H': 0.4673202614379085, 'A': 0.30718954248366015, 'D': 0.22549019607843138}"
D2,2024,3.081699346405229,11.22875816993464,11.565359477124183,2.2254901960784315,2.2712418300653594,0.07516339869281045,0.11437908496732026,14.222222222222221,12.506535947712418,5.186274509803922,4.578431372549019,5.6568627450980395,4.830065359477124,"{'H': 0.4117647058823529, 'A': 0.3235294117647059, 'D': 0.2647058823529412}"
D2,2025,2.8823529411764706,12.052287581699346,11.92156862745098,2.0326797385620914,2.392156862745098,0.08496732026143791,0.0718954248366013,14.052287581699346,12.549019607843137,4.738562091503268,4.130718954248366,5.287581699346405,4.73202614379085,"{'H': 0.45098039215686275, 'A': 0.2875816993464052, 'D': 0.26143790849673204}"
DEN,2012,2.899159663865546,,,,,,,,,,,,,"{'H': 0.37815126050420167, 'A': 0.36134453781512604, 'D': 0.2605042016806723}"
DEN,2013,2.823529411764706,,,,,,,,,,,,,"{'H': 0.45454545454545453, 'D': 0.29411764705882354, 'A': 0.25133689839572193}"
DEN,2014,2.4166666666666665,,,,,,,,,,,,,"{'H': 0.40625, 'A': 0.3125, 'D': 0.28125}"
DEN,2015,2.689655172413793,,,,,,,,,,,,,"{'H': 0.43842364532019706, 'A': 0.35960591133004927, 'D': 0.2019704433497537}"
